GO,SRR5788441,SRR5788451,SRR5788461,SRR5787992,SRR5788002,SRR5788012,SRR5788022,SRR5788032,SRR5788042,SRR5788052,SRR5788062,SRR5788072,SRR5788082,SRR5788092,SRR5788102,SRR5788112,SRR5788122,SRR5788132,SRR5788142,SRR5788152,SRR5788162,SRR5788172,SRR5788182,SRR5788192,SRR5788202,SRR5788212,SRR5788222,SRR5788232,SRR5788242,SRR5788252,SRR5788262,SRR5788272,SRR5788282,SRR5788292,SRR5788302,SRR5788312,SRR5788322,SRR5788332,SRR5788342,SRR5788352,SRR5788362,SRR5788372,SRR5788382,SRR5788392,SRR5788402,SRR5788412,SRR5788422,SRR5788432,SRR5788442,SRR5788452,SRR5788462,SRR5787993,SRR5788003,SRR5788013,SRR5788023,SRR5788033,SRR5788043,SRR5788053,SRR5788063,SRR5788073,SRR5788083,SRR5788093,SRR5788103,SRR5788113,SRR5788123,SRR5788133,SRR5788143,SRR5788153,SRR5788163,SRR5788173,SRR5788183,SRR5788193,SRR5788203,SRR5788213,SRR5788223,SRR5788233,SRR5788243,SRR5788253,SRR5788263,SRR5788273,SRR5788283,SRR5788293,SRR5788303,SRR5788313,SRR5788323,SRR5788333,SRR5788343,SRR5788353,SRR5788363,SRR5788373,SRR5788383,SRR5788393,SRR5788403,SRR5788413,SRR5788423,SRR5788433,SRR5788443,SRR5788453,SRR5788463,SRR5787994,SRR5788004,SRR5788014,SRR5788024,SRR5788034,SRR5788044,SRR5788054,SRR5788064,SRR5788074,SRR5788084,SRR5788094,SRR5788104,SRR5788114,SRR5788124,SRR5788134,SRR5788144,SRR5788154,SRR5788164,SRR5788174,SRR5788184,SRR5788194,SRR5788204,SRR5788214,SRR5788224,SRR5788234,SRR5788244,SRR5788254,SRR5788264,SRR5788274,SRR5788284,SRR5788294,SRR5788304,SRR5788314,SRR5788324,SRR5788334,SRR5788344,SRR5788354
GO:0016020,4.503954023,5.412317719,5.535940649,5.543023241,5.311117843,5.633527031,5.522042358,5.33989644,5.29850157,5.435157676,5.360064896,5.383960705,5.525687347,5.464276372,5.463664589,5.7886618,5.309221227,5.693876377,5.309517321,5.501682172,5.652866871,5.384856782,5.534056582,5.30291508,5.38862332,5.557525247,5.457963603,5.612997774,5.26011911,5.547098747,5.415182093,5.159290408,5.391005718,5.419980517,4.651045294,5.520681311,5.358294705,5.25980166,5.599782671,5.242628378,5.59807448,5.448268714,5.540916064,5.494704074,5.37118797,5.606408239,5.564449455,5.409716767,4.505041391,5.470189906,5.529457304,5.265258974,5.43726369,5.077502352,5.164486693,5.370938479,5.443427284,5.363322354,5.240381988,5.522166353,5.351496757,5.432075745,5.254429639,5.406230103,5.414953303,5.341610581,5.45399525,5.288454919,5.602313979,5.393329472,5.511668165,5.473310297,5.383368279,5.464864959,5.493717296,5.479701967,5.22765022,5.435580015,5.54661175,5.30260363,6.378257232,5.385202174,5.530830824,5.623279276,5.494334121,5.435444593,5.647287102,5.432154425,5.259144541,5.711156565,5.457248909,5.355062454,5.012318291,5.49614472,5.565511346,5.606995822,4.708777708,5.447508428,5.25947203,5.311380843,5.36564333,5.412134494,5.388047889,5.535156086,5.469007134,5.476885224,5.493955497,5.496374669,5.458435383,5.46603826,5.436976385,5.51071253,5.226244076,5.384240479,5.435154487,5.48045826,5.575614999,5.542196551,5.446933071,5.46693728,5.535618137,5.592094556,5.561595053,5.362092113,5.113093978,5.444438295,5.31868093,5.859742765,5.296217505,5.614181939,5.450463123,5.362022301,5.347696815,5.450212146,5.822166117,5.385742081
GO:0016021,4.18636294,5.161909783,5.279970206,5.236640533,4.968809714,5.331971595,5.268196393,5.033612713,5.025559812,5.147073148,5.057913224,5.021209979,5.17429827,5.20015529,5.20473028,5.450843162,5.076782394,5.449208328,4.983982416,5.22671072,5.373018723,5.111890643,5.268451596,4.943529139,5.055684065,5.197988639,5.106078653,5.256765838,4.919877922,5.225702037,5.159645383,4.836279798,5.038377716,5.103882366,4.338635752,5.198692819,5.008195493,4.937873807,5.282776139,4.944892098,5.323751097,5.052228239,5.262441597,5.23146959,5.056363551,5.265706744,5.251609023,5.019706032,4.184804957,5.12205852,5.257404955,4.968375529,5.143845102,4.773983807,4.835094196,5.068289783,5.154442233,5.079021976,4.896250562,5.124422705,5.007517345,5.154165206,4.902612,5.104483697,5.155436248,5.09635376,5.094048158,4.959980552,5.32782874,5.125504037,5.249489421,5.10768133,5.054597735,5.114066942,5.14783394,5.130275859,4.908576158,5.116611064,5.29683405,5.041001644,6.054669348,5.123685075,5.210765161,5.319682653,5.179896333,5.185675284,5.363102184,5.126530762,4.993193663,5.343341623,5.125351121,5.10429587,4.693762113,5.14511868,5.307846755,5.205223317,4.360271454,5.091079296,4.950652017,4.971206245,5.070643608,5.075842473,5.132035438,5.221200298,5.172445296,5.1883997,5.153140804,5.137097637,5.106731303,5.196355837,5.132371772,5.214989471,4.969131571,5.141242768,5.088015533,5.190429754,5.286916569,5.212414018,5.172912198,5.13247102,5.180125875,5.24163114,5.275666018,5.061870738,4.769192638,5.174876432,5.061324283,5.584047257,4.956374959,5.350775056,5.122235544,4.993383318,5.100801179,5.195202008,5.44015313,5.114831078
GO:0005840,4.093736785,5.071937211,5.223184321,5.168391401,4.947271934,5.29372266,5.208433294,4.958277126,4.9446011,5.094121596,5.090166316,4.957051494,5.142060805,5.13260865,5.12870291,5.450943117,5.023268925,5.352111095,4.967304553,5.174301177,5.345242344,5.023063058,5.221719311,4.978148549,4.975748797,5.147416597,5.068059638,5.271165253,4.908661918,5.251854705,5.068029933,4.775362833,5.017796859,5.065855962,4.249516316,5.177856692,4.975390445,4.892283869,5.233488539,4.844340466,5.243526665,5.021507665,5.216577561,5.175595881,4.980117046,5.307694955,5.218651022,5.056088831,4.093036253,5.096597208,5.182269102,4.991509604,5.080478571,4.839358616,4.794711062,4.989249533,5.088107726,5.042323446,4.913214961,5.068564313,4.99719847,5.076301759,4.862399748,5.043354417,5.053397321,4.996248915,5.087710449,4.961126718,5.26547349,5.067431688,5.177848041,5.124523787,4.974313613,5.099715162,5.148152087,5.140548894,4.886011044,5.106510464,5.194172877,4.941541246,5.971382089,5.032940938,5.133213065,5.274241004,5.123753669,5.123489033,5.292349124,5.057924626,4.936176833,5.322142769,5.116531371,4.993982613,4.689956709,5.192840544,5.222128345,5.20442117,4.308628433,5.074348262,4.899601659,5.026982443,5.019319883,5.03877907,5.063123105,5.17656872,5.09206766,5.158850799,5.135368029,5.063967259,5.098809799,5.129190231,5.04862434,5.153091963,4.862465324,5.045283851,5.049539747,5.103964414,5.27567983,5.144826305,5.097749994,5.130420619,5.212302158,5.240479356,5.240953403,4.997521807,4.691806185,5.150768717,4.987062659,5.499540002,4.923088515,5.265409854,5.042677873,4.959566047,5.020328129,5.135387108,5.378276136,5.013414495
GO:0005737,3.918711665,4.950252858,5.059086075,5.022019868,4.779372794,5.147506282,5.079376635,4.746252662,4.812793074,4.949014106,4.906981153,4.786907513,5.002498677,4.996003531,4.989627771,5.271616272,4.883723878,5.236668235,4.795525488,5.029298534,5.183790685,4.852784869,5.087614622,4.802007049,4.775428392,4.955812778,4.927539736,5.084726378,4.737455049,5.081138393,4.952133481,4.645392791,4.836267135,4.908785168,4.06792595,5.018750415,4.835474956,4.743094086,5.056645721,4.66965154,5.09839796,4.837720979,5.070218939,5.041151782,4.836026465,5.141882285,5.053846427,4.855264683,3.917137753,4.946201638,5.037203317,4.821349736,4.94275192,4.632021767,4.631900147,4.772226328,4.935477035,4.887656678,4.732980465,4.891593204,4.832464204,4.935260323,4.695113771,4.896752124,4.94308377,4.872424345,4.923347656,4.80068959,5.133404767,4.90886553,5.031089191,4.953339203,4.780857144,4.965112292,4.993259831,4.891760401,4.734839818,4.954715151,5.095751509,4.82816346,5.797170558,4.901654445,4.949175246,5.131429381,4.957832277,4.968865706,5.134852576,4.867514627,4.793734523,5.16214604,4.956696565,4.880750729,4.544043227,5.024789321,5.101358647,5.019884457,4.128883702,4.920717986,4.733221347,4.845110448,4.871549586,4.893861588,4.936714758,4.983766069,4.946604536,5.011578901,4.984261705,4.910976393,4.9440284,4.987541141,4.885095359,5.009310641,4.748087197,4.936488609,4.896316736,4.946177059,5.107823655,4.991580457,4.970049185,4.975831451,5.047687543,5.084411823,5.090920807,4.785301356,4.552303109,5.015519023,4.868291688,5.373441666,4.73255458,5.13500855,4.872762113,4.809040945,4.894288364,4.965145234,5.258843129,4.89293454
GO:0005622,3.925312091,4.901403827,5.054260574,4.97582686,4.76642772,5.122310921,5.041218933,4.779004524,4.773157213,4.925497736,4.905639398,4.789778074,4.952099537,4.969359991,4.957837062,5.288390091,4.866316882,5.176626559,4.788747987,5.007235538,5.177931658,4.841847308,5.056855324,4.78537255,4.799009532,4.97290603,4.883218399,5.086943244,4.703875777,5.077138886,4.903480676,4.584772081,4.820654571,4.890666882,4.079398339,5.005077506,4.786076748,4.717720419,5.052081883,4.666471179,5.079112477,4.834732165,5.049489372,5.01125317,4.808757718,5.107522007,5.026471977,4.867284775,3.926188049,4.902595696,5.009340396,4.806559815,4.914877101,4.664303432,4.61408479,4.810440876,4.916111642,4.876777673,4.715242663,4.899557877,4.815843291,4.903279949,4.679763936,4.875298613,4.886090087,4.819668942,4.901180328,4.760633548,5.096625022,4.897165064,5.000438416,4.94219662,4.802048156,4.910939074,4.957583345,4.956547792,4.685051692,4.934619633,5.022193219,4.776076164,5.791681528,4.861044284,4.961786412,5.103201447,4.946275367,4.954826002,5.115866686,4.870280974,4.77112428,5.136625456,4.926450492,4.829400272,4.520706191,4.993378909,5.055588546,5.035545801,4.137543995,4.8786941,4.721942449,4.832400326,4.85115435,4.850333725,4.898396046,5.007636844,4.916058956,4.993061297,4.942608205,4.894814329,4.912222057,4.960247151,4.873018176,4.983748035,4.702714803,4.879743682,4.878619443,4.931234055,5.102954821,4.973594239,4.934094268,4.957554613,5.024276269,5.047418959,5.068942434,4.828002158,4.505109261,4.977974966,4.820451058,5.333842091,4.74442599,5.09405865,4.874522404,4.76384711,4.852912852,4.960194796,5.18662583,4.848306145
GO:0009522,3.122870923,4.501565872,4.645333829,2.436162647,2.158362492,4.43479238,4.549799964,4.101093767,4.295105073,4.366011817,4.299659809,3.345765693,1.643452676,4.506545619,4.542065681,4.479949417,4.469660045,4.792069351,4.133858125,4.509108393,4.686993566,4.526739781,4.536369029,2.926342447,4.084647761,4.045518563,2.403120521,2.821513528,3.138302698,4.038461196,4.472244353,1.301029996,2.340444115,4.028896445,3.39252109,4.171638709,1.662757832,4.137986733,4.263541389,4.093351632,4.487760371,3.421768401,4.380844126,4.529712605,4.17184342,1.86923172,3.51600623,3.26810973,3.126131407,2.008600172,4.582551953,3.96345726,4.32776749,3.945567053,2.918554531,4.143608035,4.403103355,4.326397313,3.171141151,3.570192561,3.687885525,4.47357455,2.989004616,4.165422401,4.439332694,4.454539985,3.369030222,2.90579588,4.594425701,4.455469186,4.627089213,2.701567985,4.055493007,1.380211242,2.348304863,4.168143775,3.103803721,3.9259821,4.590685826,4.29072448,4.576491081,4.465903098,4.216165902,4.429138345,4.094296397,4.549824455,4.684270708,4.270189543,4.282055371,3.085290578,2.995635195,4.394574247,3.612253906,2.198657087,4.637419676,3.692406235,2.713490543,1.748188027,4.148108858,3.212720154,4.234264124,1.812913357,4.403189179,4.221544637,4.440657244,4.416623867,2.586587305,3.360971884,3.02489596,4.536432176,4.008472419,4.21005085,4.20199762,4.465516689,3.656002321,4.425876435,4.509215968,4.132067481,4.44015313,4.184748198,2.663700925,1.977723605,4.44040526,4.195678299,2.42975228,4.460777606,4.333386812,4.874104763,3.734079407,4.684216795,3.968856375,2.646403726,4.440641499,4.583855955,2.303196057,4.286389097
GO:0009579,3.039414119,4.396913862,4.549995852,2.326335861,2.008600172,4.323375872,4.434632766,4.029708363,4.19384782,4.256501266,4.184577875,3.260786669,1.477121255,4.404765318,4.436448901,4.36992055,4.358239508,4.68455813,4.029911105,4.407713743,4.565977616,4.44196207,4.421932813,2.824125834,4.015024263,3.95409772,2.33243846,2.745855195,3.033423755,3.911104318,4.36470105,1.146128036,2.281033367,3.908216853,3.301464073,4.060584531,1.491361694,4.028937077,4.169968174,3.996424104,4.383743576,3.339848783,4.265737364,4.418533295,4.075327934,1.662757832,3.354492601,3.190331698,3.039810554,1.934498451,4.485011215,3.844725628,4.222326211,3.818027842,2.804139432,4.070776463,4.305394367,4.216456215,3.06669855,3.490520309,3.563243701,4.375608752,2.903089987,4.051113917,4.328134862,4.343073634,3.248218561,2.788875116,4.481514288,4.355068206,4.531593862,2.604226053,3.986637396,1.041392685,2.217483944,4.075510465,3.005609445,3.818819508,4.475147977,4.17498965,4.482144386,4.364138079,4.126715704,4.320208621,3.995591324,4.450018039,4.591187083,4.180183242,4.174437796,3.000867722,2.889861721,4.284205068,3.487138375,2.017033339,4.531900234,3.60368555,2.611723308,1.579783597,4.053539396,3.080987047,4.128366954,1.591064607,4.290991232,4.12784959,4.349995899,4.308286889,2.469822016,3.267406419,2.916453949,4.433449794,3.912912551,4.102296466,4.090645958,4.354185299,3.540829814,4.333225536,4.402467731,4.022840611,4.332902806,4.068631064,2.549003262,1.812913357,4.326581618,4.112973459,2.31386722,4.344136731,4.215769708,4.770240625,3.643748685,4.579314763,3.868644438,2.53529412,4.332519251,4.4925369,2.198657087,4.172340174
GO:0019028,2.86332286,4.22657413,3.957224058,4.11876059,3.181271772,4.0801212,3.960613458,3.888965344,4.197501096,4.032538179,4.324549948,3.704407927,3.761326322,4.057057209,4.077912703,4.07371835,3.647480773,4.3641193,3.789933081,3.991048776,4.101093767,4.268998959,3.939818663,3.875119165,3.751048035,3.927832133,3.564429327,3.848866211,4.100198172,3.977815026,3.962842681,3.427972714,3.675595056,4.36687103,3.001733713,4.143077284,3.64777405,4.354761312,4.211627723,4.363837529,4.411670202,3.314709693,3.963646186,4.213783299,4.407390904,4.044461361,4.100198172,3.347330015,2.838219222,3.712986234,4.03430753,3.63738965,4.328746458,3.66238002,3.501196242,3.994493123,4.375206221,3.850094594,3.718916686,3.81517913,3.988915521,4.07834805,3.539452492,3.842921121,3.893650817,3.981546805,4.00877045,3.64246452,4.086893471,4.208602574,4.013679697,4.146314122,3.785116195,3.906281156,3.62797999,3.814913181,3.653983907,3.849235091,4.073901558,4.108598846,4.891983231,3.853333105,3.941759814,4.056333035,3.991181758,3.837903945,4.564902673,4.073094865,4.00008685,3.526339277,3.756179517,4.149650113,4.159206134,3.88149878,4.096597208,3.479863113,3.209515015,3.662852233,4.45700334,3.891983231,4.255200117,3.687528961,4.23365594,3.910464316,4.479661671,4.05300157,3.939269586,3.815909651,3.854731017,4.033825694,3.971971276,3.903361336,3.835563752,4.259307121,4.376722914,4.390069186,4.227269517,4.172077257,3.747023177,4.137132476,3.805364907,3.866287339,3.975891136,3.819872822,3.692758818,4.092580301,3.88286592,4.684450369,3.812244697,4.072984745,3.83486558,3.778729924,3.992509335,4.047352761,3.796227314,3.99484485
GO:0030288,3.015359755,3.920279895,4.083681747,4.071403284,3.813847754,4.189069009,4.077040698,3.861175836,3.836197481,4.015736874,3.873901598,3.962085081,4.007705114,4.017409009,4.019490163,4.438257472,3.815112658,4.187774455,3.879955585,4.066810276,4.235806105,3.971785938,4.101540873,3.770557475,3.961800639,4.181643538,3.936564005,4.176149161,3.747023177,4.076312688,3.915663604,3.675228254,3.861474669,3.890253305,3.162265614,4.049760552,3.859378504,3.812646016,4.122215878,3.757016235,4.087639468,4.004665233,4.126780577,4.044461361,3.941362336,4.081419324,3.928498268,4.023746163,3.002597981,3.94156112,4.082246655,3.675869955,3.974189191,3.649140064,3.66238002,3.879726497,4.008813009,3.934851803,3.721563318,4.166341292,3.857453117,4.000043427,3.757927183,3.834102656,3.905849827,3.849419414,4.00548081,3.822821645,4.143420785,3.922881091,4.093281568,4.004708197,3.942206542,4.003762021,3.959566047,4.018492453,3.782687568,3.964070971,4.007918391,3.817367016,4.819649206,3.914554699,4.077985291,4.177824972,3.976579219,3.985740741,4.215426048,3.899765802,3.831229694,4.248880166,3.941362336,3.88303651,3.528659645,3.969276095,4.104248047,4.2175629,3.309417226,3.919025765,3.823343791,3.763727404,3.914977472,3.90330708,3.954965731,4.106700732,4.03909671,4.044853217,3.955976222,4.040681439,3.945714714,3.984302232,3.978226182,4.061866972,3.754271869,3.900585587,3.982723388,4.024649831,4.152227172,4.030275803,4.014478535,4.047780925,4.02514195,4.095134467,4.110758009,3.908431399,3.787176992,3.895367289,3.824386202,4.42078062,3.818885415,4.154089069,4.001647191,3.891481704,3.875986771,4.010427173,4.202515562,3.893040112
GO:0043190,2.923761961,4.049411861,4.136181327,4.005695181,3.78604121,4.140382325,4.15369294,3.718750735,3.901403827,4.009620841,3.883320678,3.831549852,3.895588276,4.07754958,4.069001717,4.256260607,3.936312634,4.319792888,3.827885983,4.089728533,4.191087553,3.98403198,4.161697342,3.817697555,3.795949499,3.983039616,3.809492377,4.097118424,3.625209525,4.026124517,4.032497883,3.528531061,3.890644536,3.940516485,3.088844563,4.048364105,3.806925777,3.749504424,4.07397482,3.676967814,4.157909866,3.893095666,4.093981704,4.099300726,3.893650817,3.974419574,3.990383259,3.871456174,2.957607287,3.82949675,4.135863814,3.826981337,4.02011257,3.622731965,3.615002615,3.745855195,4.023458238,3.95679252,3.728597243,3.923968965,3.857151503,4.019074729,3.706973676,3.944581364,4.030194785,3.958898195,3.933487288,3.775173385,4.185315458,4.005309237,4.142764775,3.997124156,3.80706124,3.796088429,3.889301703,3.830588669,3.606058749,3.910517686,4.172456974,3.912487761,4.860008417,4.016155512,3.956024282,4.175163774,3.993392137,4.049992857,4.248390185,3.94235535,3.865577707,4.222638447,3.908753019,3.963031875,3.51375015,3.847325831,4.189321841,4.016824494,3.166726056,3.766933094,3.819083076,3.836513999,3.938819825,3.753353213,3.99100444,3.976074732,4.034468023,4.055263626,3.88349109,3.955302823,3.879267957,4.086964574,3.888516461,4.008046306,3.843544212,4.009153332,3.886208624,4.027431158,4.137923512,4.0253878,4.068148741,4.007918391,3.905687968,3.922154325,4.115210977,3.754959588,3.524655712,4.044931546,3.931915317,4.460326422,3.704836606,4.239924813,3.895753942,3.827369273,3.970439863,4.036748629,4.132835804,3.991580457
